shape,spacing,cycle,MaxAngle,MaxExt,MaxIndex,MaxLoad,Work
Hexagon,0.3,1,30.63340237,17.3415,352,15.2411,28.19091578
Hexagon,0.3,2,30.61265633,17.3258,344,14.7277,20.29016286
Hexagon,0.3,3,30.63445913,17.3423,358,13.6376,18.38842068
Circle,0.1,1,30.61278852,17.3259,351,2.4088,9.8076666
Circle,0.1,2,30.42917408,17.1874,348,2.3786,8.23578274
Circle,0.1,3,30.61358161,17.3265,357,2.5991,8.38383293
Circle,0,1,30.33382762,17.1158,344,2.0539,8.29381499
Circle,0,2,27.85586729,15.3262,302,1.8667,7.621950575
Circle,0,3,29.9459,16.8267,345,1.8271,7.26580121
Circle,-0.1,1,28.6226242,15.866,319,1.5712,6.975877785
Circle,-0.1,2,28.35507874,15.6763,309,1.5363,5.80628648
Circle,-0.1,3,29.81061315,16.7267,343,1.5672,6.908154485
Diamond,0.3,1,30.63406285,17.342,352,17.4008,34.96612597
Diamond,0.3,2,30.63445913,17.3423,345,16.4997,29.62007197
Diamond,0.3,3,30.61358161,17.3265,357,16.2446,27.5004304
Diamond,0.1,1,30.53337692,17.2659,347,9.3966,23.83174648
Diamond,0.1,2,30.60644304,17.3211,342,9.2443,21.23175595
Diamond,0.1,3,30.4146777,17.1765,352,8.8453,21.39968809
Diamond,0,1,30.46704582,17.2159,346,5.988,19.487967
Diamond,0,2,30.61318507,17.3262,344,5.2913,16.72334584
Diamond,0,3,30.3480947,17.1265,351,5.4385,15.84831884
Diamond,-0.1,1,29.04137386,16.1659,325,3.8251,14.62871027
Diamond,-0.1,2,30.48072154,17.2262,340,3.8611,12.284506
Diamond,-0.1,3,30.61371379,17.3266,357,3.9172,12.4047765
Hexagon,0.1,1,29.99877765,16.8659,339,3.3809,11.39250151
Hexagon,0.1,2,30.60657525,17.3212,342,3.2954,8.996530735
Hexagon,0.1,3,30.21437151,17.0264,349,3.3649,10.01225344
Hexagon,0,1,29.93158649,16.8161,338,2.7304,10.05819882
Hexagon,0,2,29.74234918,16.6764,329,2.4156,9.23608728
Hexagon,0,3,30.01306124,16.8765,346,2.4147,7.91150645
Hexagon,-0.1,1,28.97191728,16.1159,324,1.5524,7.79600848
Hexagon,-0.1,2,28.91680601,16.0763,317,1.7529,7.05317942
Hexagon,-0.1,3,30.21450538,17.0265,349,1.6588,7.115425245
Triangle,0.3,1,30.61278852,17.3259,351,7.8856,21.34503066
Triangle,0.3,2,30.61318507,17.3262,344,7.2433,15.70645593
Triangle,0.3,3,30.48125251,17.2266,353,6.8983,15.33647906
Triangle,0.1,1,29.45524708,16.466,331,2.4112,10.32724908
Triangle,0.1,2,28.70723556,15.9263,314,2.3702,8.30008436
